Error Message,Site ID,Site Name,Placement ID,Placement Name,Placement Compatibility,Placement Group Type,Placement Group ID,Primary Placement,Payment Source,Dimensions,Placement Orientation,Placement Duration,Placement Publisher Specification,Placement Tag Wrapping,Placement Tag Wrapping Type,Placement Tag Wrapping Measurement Mode,Placement status,Start Date,End Date,Cost Structure,Units,Rate,Cost,Opt This Placement Out of Ad Blocking,Placement Comments,Content Category,Placement Strategy,Assignment is Active,Ad ID,Ad Name,Ad Type,Ad is Active,Ad is Archived,Ad Start Time,Ad End Time,Ad Uses Default Landing Page,Ad Landing Page ID,Ad Landing Page Name,Ad Click-Through URL,Applied Impression Event Tag IDs,Applied Click Event Tag ID,Hard Cut-Off,Priority,Impression Ratio,Rotation Type,Weight Calculation Strategy,Rotation Value,Audience Segment Group Name,Audience Segment Name,Creative ID,Creative Name,Creative Type,Creative Compatibility,Creative Start Date,Creative End Date,Creative Assignment is Active,Creative Assignment Event Tags Enabled,Creative Uses Default Landing Page,Creative Landing Page ID,Creative Landing Page Name,Creative Click-Through URL
,1880921,"Spotify USA, Inc",354391552,OBS_National_Aware_Corp_A25P_ALL_Spotify_Spotify_PreRoll&MidRollPodcastRead_3P_AUD_Display_CPM_30s,Display,,354385065,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,1/22/2023,CPM,681818,35.2,23999.99,No,"Created by Prisma at 6:47PM EST on December 16, 2022. Placement id=P265PLK, Prisma campaign id=CP1WPFC",,,Yes,545277567,Spotify_1H_Corp_Audio,Tracking,Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,4559112,,Yes,15,1,Weighted,Even,,,,183449651,OBS_AWARE_W4SmokeandSpice_Audio_Features_30s,Tracking,,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,No,33951155,Spotify_Audio_Aware_2023,
,1972173,"Waze, Inc",354391858,OBS_National_Visits_Franch_ALL_ALL_WAZE_WAZE_HighImpactZeroSpeed_3P_MOB_Display_CPM_1x1,Display,,354385053,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,1/22/2023,CPM,1196629,17.8,21300,No,"Created by Prisma at 7:16PM EST on December 16, 2022. Placement id=P265PL9, Prisma campaign id=CP1WPFC",,,Yes,545282313,Waze_1H_Franch_Display,Tracking,Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,4559112,,Yes,15,1,Weighted,Even,,,,183787812,OBS_VISITS_StopforaSteakWaze_Static_OPD_1x1,Tracking,,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,No,33965799,Waze_Display_VISITS_2023,
,1880921,"Spotify USA, Inc",354032954,OBS_National_Aware_Franch_A25P_ALL_Spotify_Spotify_PreRoll&MidRollPodcastRead_3P_AUD_Display_CPM_30s,Display,,354391555,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,1/22/2023,CPM,170455,35.2,6000.02,No,"Created by Prisma at 6:48PM EST on December 16, 2022. Placement id=P265PLJ, Prisma campaign id=CP1WPFC",,,Yes,545367220,Spotify_1H_Franch_Audio,Tracking,Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,4559112,,Yes,15,1,Weighted,Even,,,,183776697,OBS_AWARE_HungryNavigation_Audio_OPD_30s,Tracking,,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,No,33964332,Spotify_Audio_OPD_2023,
,1972173,"Waze, Inc",354383922,OBS_National_Visits_ALL_ALL_ALL_WAZE_WAZE_BrandedPin_3P_MOB_Display_CPM_152x112,Display,,354385056,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,1/22/2023,CPM,4943182,1.76,8700,No,"Created by Prisma at 7:16PM EST on December 16, 2022. Placement id=P265PKY, Prisma campaign id=CP1WPFC",,,Yes,545367268,Waze_1H_ALL_Display_152x112,Tracking,Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,4559112,,Yes,15,1,Weighted,Even,,,,183776745,OBS_VISITS_PinWaze_Static_OPD_152x112,Tracking,,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,No,33965799,Waze_Display_VISITS_2023,
,1972173,"Waze, Inc",354385182,OBS_National_Visits_Corp_ALL_ALL_WAZE_WAZE_HighImpactZeroSpeed_3P_MOB_Display_CPM_1x1,Display,,354385053,No,Agency Paid,1x1,,,,No,,,Active,12/26/2022,1/22/2023,CPM,1196629,17.8,21300,No,"Created by Prisma at 7:16PM EST on December 16, 2022. Placement id=P265PKH, Prisma campaign id=CP1WPFC",,,Yes,545367337,Waze_1H_Corp_Display,Tracking,Yes,No,12/26/2022 0:00,3/26/2023 23:59,,,,,4559112,,Yes,15,1,Weighted,Even,,,,183776751,OBS_Visits_W4PostHoliday_Waze_Static_1x1,Tracking,,12/26/2022 0:00,3/26/2023 23:59,Yes,Yes,No,33965799,Waze_Display_VISITS_2023,
,1972173,"Waze, Inc",354385053,OBS_National_Visits_ALL_ALL_ALL_WAZE_WAZE_HighImpactZeroSpeed_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,1/22/2023,CPM,1196629,17.8,21300,No,"Created by Prisma at 1:44PM EST on December 07, 2022. Package id=P265PKD, Prisma campaign id=CP1WPFC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1972173,"Waze, Inc",354385056,OBS_National_Visits_ALL_ALL_ALL_WAZE_WAZE_BrandedPin_3P_MOB_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,1/22/2023,CPM,4943182,1.76,8700,No,"Created by Prisma at 1:44PM EST on December 07, 2022. Package id=P265PK9, Prisma campaign id=CP1WPFC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880921,"Spotify USA, Inc",354385065,OBS_National_Aware_Corp_A25P_ALL_Spotify_Spotify_PreRoll&MidRollPodcastRead_3P_AUD_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,1/22/2023,CPM,681818,35.2,23999.99,No,"Created by Prisma at 1:44PM EST on December 07, 2022. Package id=P265PLH, Prisma campaign id=CP1WPFC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880921,"Spotify USA, Inc",354391555,OBS_National_Aware_Franch_A25P_ALL_Spotify_Spotify_PreRoll&MidRollPodcastRead_3P_AUD_Display_CPM_Package,Display,Package,,,Agency Paid,,,,,No,,,Active,12/26/2022,1/22/2023,CPM,170455,35.2,6000.02,No,"Created by Prisma at 1:44PM EST on December 07, 2022. Package id=P265PLG, Prisma campaign id=CP1WPFC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
